ARJ		Aerojet de Costa Rica, S.A.
ARK		Aero Link Air Services S.L.
ARL		Airlec - Air Aquitaine Transport
ARM		Aeromarket Express
ARO		Arrow Aviation Ltd.
ARP		RPA-Aviataxi Ltd.
ARQ		Armstrong Air, Inc.
ARR	QN	Air Armenia
ARS		Aeromet Servicios
ART		Aerotal Aerolineas Territoriales de Colombia Ltda
ARV		Aravco Ltd.
ARW		Aria
ARX		Air Xpress, Inc.
ARY		Argosy Airways
ARZ		Air Resorts
ASA	AS	Alaska Airlines
ASB		Air-Spray 1967 Ltd.
ASC		Air Star Corporation
ASD	4D	Air Sinai
ASE		Airstars
ASF		Air Schefferville, Inc.
ASG		African Star Airways (PTY) Ltd.
ASH	YV	Mesa Airlines
ASI		Aerosun International, Inc.
ASJ		Air Satellite
ASK		La Ronge Aviation Services
ASL	JU	Air Serbia
ASM		Awesome Flight Services (PTY) Ltd.
ASN		Air and Sea Transport
ASO		Aero Slovakia
ASP		Airsprint
ASQ	EV	ExpressJet
ASR		All Star Airlines, Inc.
ASS		Air Class, S.A. de C.V.
AST		Aerlineas Del Oeste
ASU		Compania Boliviana de Transporte Aereo Privado Aer
ASV		Astravia-Bissau Air Transports Ltd.
ASW		Air Southwest Ltd.
ASX		Air Special
ASY		Royal Australian Air Force
ASZ	OB	Astrakhan Airlines
ATA		Air Transport Association
ATB		Atlantair Ltd.
ATC	TC	Air Tanzania
ATD		Aerotours Dominicana
ATE		Atlantis Transportation Services, Ltd.
ATF		Compania Aerotecnicas Fotograficas
ATG		Aerotrans Airline
ATH		Air Travel Corp.
ATI	HC	Aero-Tropics Air Services
ATJ		Air Traffic GmbH
ATK		AeroTACA
ATL		Aerocentral
ATM		Airlines Of Tasmania
ATN	8C	Air Transport International
ATP		ASTRAL Colombia - Aerotransportes Especiales Ltda.
ATQ		Air Transport Schiphol
ATR		Atlas Airlines
ATS		Air Transport Service
ATT		Aer Turas
ATU		Atlant Aerobatics Ltd.
ATV		Avanti Air
ATW		Aero Trades (Western) Ltd.
ATX		Warwickshire Aerocentre Ltd.
AUA	OS	Austrian Airlines
AUB	IQ	Augsburg Airways
AUC		Transaustralian Air Express
AUD		Audi Air, Inc.
AUF		Augusta Air Luftfahrtunternehmen
AUH	MO	Abu Dhabi Amiri Flight
AUI	PS	Ukraine International Airlines
AUJ		Business Flight Salzburg
AUL	5N	Aeroflot-Nord
AUM		Air Atlantic Uruguay
AUN		Aviones Unidos
AUO		Empresa (Aero Uruguay), S.A.
AUP		Avia Business Group
AUR	GR	Aurigny Air Services
AUS	NO	Aus-Air
AUT	AU	Austral Lineas Aereas
AUU		Aurora Aviation, Inc.
AUX		Air Uganda International Ltd.
AUY		Aerolineas Uruguayas, S.A.
AUZ	AO	Australian Airlines
AVA	AV	Avianca
AVB		Aviation Beaufort
AVD		Alamo Aviacion, S.L.
AVE	VE	Avensa
AVF		Aviair Aviation Ltd.
AVG		Air Falcon
AVH		AV8 Helicopters
AVJ		Avia Traffic Company
AVK		AV8 Helicopters
AVM		Aviacion Ejecutiva Mexicana, S.A.
AVN	NF	Air Vanuatu
AVO		Aviation at Work
AVP		Avcorp Registrations
AVQ		Aviation Services, Inc.
AVR	EX	Avianca Express
AVS		Avialsa T-35
AVT		Asia Avia Airlines
AVU		Avia Sud Aérotaxi
AVV		Airvantage Incorporated
AVW		Aviator Airways
AVX		Aviapaslauga
AVY		Aerovaradero, S.A.
AVZ		Air Valencia
AWB		Airways International, Inc.
AWC	ZT	Titan Airways
AWD		Providence Aviation Services
AWE	US	US Airways
AWI	ZW	Air Wisconsin
AWJ		Sahel Airlines
AWK		Airwork
AWL		Australian Wetleasing
AWN		Air Niamey
AWO		Awood Air Ltd.
AWQ	QZ	Indonesia AirAsia
AWR		Arctic Wings And Rotors Ltd.
AWS		Arab Wings
AWT		Air West
AWU	7E	Aeroline GmbH
AWV		Airwave Transport, Inc.
AWW	6G	Air Wales
AWY		Aeroway, S.L.
AWZ		AirWest
AXB	IX	Air India Express
AXD		Air Express
AXF	HJ	Asian Express Airlines
AXH		Aeromexhaga
AXI		Aeron International Airlines, Inc.
AXK		African Express Airways
AXL	XT	Air Exel
AXM	AK	AirAsia
AXN		Alexandair
AXP		Aeromax
AXQ		Action Airlines (Action Air Charter)
AXR		Axel Rent, S.A.
AXS		Altus Airlines
AXV		Aviaxess
AXX		Avioimpex A.D.p.o.
AXY	6V	Axis Airways
AYB		Belgian Army
AYD		Aladia Airlines
AYK		Aykavia Aircompany
AYM		Airman, S.L.
AYN		Atlantic Airlines, S.A.
AYR		Flight Training Europe
AYS		Awsaj Aviation Services
AYT		Ayeet Aviation & Tourism
AYU		Yuhi Air Lines
AYZ	3G	Atlant-Soyuz Airlines
AZA		Alitalia
AZB		Azamat
AZE	ZE	Arcus-Air Logistic
AZF		Air Zermatt AG
AZG	7L	Silk Way West Airlines
AZI	ZS	Azzurra Air
AZK		Azalhelikopter
AZL		Africa One
AZM		Aerocozumel
AZN	Z8	Amaszonas
AZP		Arizona Pacific Airways
AZQ	ZP	Silk Way Airlines
AZR		Zenith Air
AZS		Aviacon Zitotrans Air Company
AZT		Azimut, S.A.
AZU	AD	Azul Linhas Aéreas Brasileiras
AZV		Azov Avia Airlines
AZW	UM	Air Zimbabwe
AZX		Air Max Africa
AZY		Arizona Airways, Inc.
AZZ		Azza Transport
BAA		Balkan Agro Aviation
BAB		Bahrain Air BSC (Closed)
BAC		BAC Leasing Limited
BAE		BAE Systems
BAF		Belgian Air Force
BAG	DI	dba
BAH		The Amiri Flight
BAJ		Baker Aviation
BAK		Blackhawk Airways
BAL		Britannia Airways
BAM		Business Air Services
BAN		British Antarctic Survey
BAP		Trans International Express Aviation
BAR		Bradly Air (Charter) Services
BAS		Aero Services
BAT		Premiair
BAU		Bissau Airlines
BAV	QH	Bamboo Airways
BAW	BA	British Airways
BAX		Best Aero Handling Ltd
BAY		Bayon Airlines
BBA		Bannert Air
BBC	BG	Biman Bangladesh Airlines
BBD	BF	Bluebird Cargo
BBE		Ababeel Aviation
BBL		IBM Euroflight Operations
BBO	F7	Flybaboo
BBR	S3	Santa Barbara Airlines
BBS		Beibars CJSC
BBT		Air Bashkortostan
BBV		Bravo Airlines
BBZ		Blue Bird Aviation
BCB		Carib Express
BCF	B4	BACH Flugbetriebsges
BCH		Phillips Air
BCI		Blue Islands
BCK		Priority Aviation Company
BCL		British Caribbean Airways
BCN		Ocean Air
BCR		British Charter
BCS	QY	European Air Transport Leipzig
BCT		BCT Aviation
BCV		Business Aviation Center
BCY	WX	CityJet
BDA	BZ	Blue Dart Aviation
BDF		Bissau Discovery Flying Club
BDG		Mississippi State University
BDM		Air Bandama
BDN		DERA Boscombe Down
BDR	J4	Badr Airlines
BDS		South Asian Airlines
BEA		Best Aviation Ltd
BEC		State Air Company Berkut
BED		Belgorod Aviation Enterprise
BEE	BE	Flybe
BEF		Balear Express
BEH		Bel Air Helicopters
BEK	Z9	Bek Air
BEL	SN	Brussels Airlines
BER	AB	Air Berlin
BES	W4	Aero Services Executive
